date,score,source,target,weight
20180301,-0.7142857140000001,4,24,1
20180301,0.565861387,4,26,1
20180301,0.480876976,31,32,1
20180301,0.28286668,31,35,1
20180301,0.162390478,32,35,1
20180301,0.20578013,32,39,1
20180301,-0.027098557000000002,32,42,1
20180301,-0.027098557000000002,32,59,1
20180301,0.404401819,33,34,1
20180301,0.06197424,33,35,1
20180301,-0.096818363,33,57,1
20180301,0.061676879000000004,34,35,1
20180301,-0.09516399199999999,34,57,1
20180301,0.044083881,36,92,1
20180301,0.28258889,42,59,1
20180301,-0.022580608999999998,57,93,1
20180301,-0.915109308,69,87,1
20180302,-0.660640773,4,24,1
20180302,0.562492584,4,26,1
20180302,-0.112900062,4,31,1
20180302,0.793323868,4,35,1
20180302,-0.330264133,18,19,1
20180302,0.297763089,18,33,1
20180302,-0.322959983,19,33,1
20180302,-0.154323822,19,34,1
20180302,-0.525915335,19,57,1
20180302,0.214162871,24,36,1
20180302,-0.193985242,24,87,1
20180302,-0.95836742,24,93,1
20180302,-0.573452396,26,33,1
20180302,0.736770431,26,35,1
20180302,-0.5378625220000001,26,69,1
20180302,-0.6025643820000001,26,87,1
20180302,0.247154391,27,34,1
20180302,0.45395013,31,32,1
20180302,0.285596894,31,35,1
20180302,0.150251567,32,35,1
20180302,0.181934612,32,39,1
20180302,-0.036154855,32,42,1
20180302,-0.036154855,32,59,1
20180302,0.395580039,33,34,1
20180302,0.060043650999999996,33,35,1
20180302,-0.09588103099999999,33,57,1
20180302,0.059144796,34,35,1
20180302,-0.097658451,34,57,1
20180302,0.048412456,36,92,1
20180302,0.274088712,42,59,1
20180302,-0.041548312000000004,57,93,1
20180302,-0.9327528820000001,69,87,1
20180303,-0.667734827,4,24,1
20180303,0.567380656,4,26,1
20180303,0.015046886,4,31,1
20180303,0.766176183,4,35,1
20180303,-0.33321815899999996,18,19,1
20180303,0.29734109999999997,18,33,1
20180303,-0.292952907,19,33,1
20180303,-0.09945092400000001,19,34,1
20180303,-0.562434005,19,57,1
20180303,-0.14567177,24,87,1
20180303,-0.896150735,24,93,1
20180303,-0.58597329,26,33,1
20180303,0.574001821,26,35,1
20180303,-0.515814366,26,69,1
20180303,-0.5908278060000001,26,87,1
20180303,0.206741617,27,34,1
20180303,0.457686136,31,32,1
20180303,0.29021901699999997,31,35,1
20180303,0.14794739199999998,32,35,1
20180303,0.005278973,32,39,1
20180303,-0.039546699,32,42,1
20180303,0.44942001299999995,33,34,1
20180303,0.05433958,33,35,1
20180303,-0.082912595,33,57,1
20180303,0.051911104000000007,34,35,1
20180303,-0.10253224699999999,34,57,1
20180303,0.093667852,36,92,1
20180303,0.272731228,42,59,1
20180303,-0.050078326,57,93,1
20180303,-0.867049449,69,87,1
20180304,-0.662835902,4,24,1
20180304,0.568057798,4,26,1
20180304,0.009027044,4,31,1
20180304,0.771454029,4,35,1
20180304,-0.323883687,18,19,1
20180304,0.30564879699999997,18,33,1
20180304,-0.283730816,19,33,1
20180304,-0.124897386,19,34,1
20180304,-0.562680003,19,57,1
20180304,0.236819841,24,36,1
20180304,-0.138200398,24,87,1
20180304,-0.8616026529999999,24,93,1
20180304,-0.59084255,26,33,1
20180304,0.576362131,26,35,1
20180304,-0.504633537,26,69,1
20180304,-0.576191948,26,87,1
20180304,0.16158882800000002,27,34,1
20180304,0.467014527,31,32,1
20180304,0.28886799999999996,31,35,1
20180304,0.141630988,32,35,1
20180304,0.010791523,32,39,1
20180304,-0.044270175,32,42,1
20180304,-0.044270175,32,59,1
20180304,0.455634624,33,34,1
20180304,0.054281625,33,35,1
20180304,-0.073318171,33,57,1
20180304,0.051825452,34,35,1
20180304,-0.089863616,34,57,1
20180304,0.105232206,36,92,1
20180304,0.267348822,42,59,1
20180304,-0.051153712999999996,57,93,1
20180304,-0.85147211,69,87,1
20180305,-0.669428426,4,24,1
20180305,0.5296804970000001,4,26,1
20180305,-0.006185058,4,31,1
20180305,0.76584527,4,35,1
20180305,-0.168397502,18,19,1
20180305,0.49217846,18,33,1
20180305,-0.094452906,19,33,1
20180305,0.076801322,19,34,1
20180305,-0.651428961,19,57,1
20180305,0.268047376,24,36,1
20180305,-0.119279248,24,87,1
20180305,-0.904503843,24,93,1
20180305,-0.614213905,26,33,1
20180305,0.540483168,26,35,1
20180305,-0.16768566099999999,26,69,1
20180305,-0.304952517,26,87,1
20180305,0.005615415,27,34,1
20180305,0.265131141,31,32,1
20180305,0.290775442,31,35,1
20180305,0.23556279,32,35,1
20180305,0.01124296,32,39,1
20180305,-0.09015921800000001,32,42,1
20180305,-0.09015921800000001,32,59,1
20180305,0.7006067909999999,33,34,1
20180305,0.042687247000000005,33,35,1
20180305,-0.017459394,33,57,1
20180305,0.037332325,34,35,1
20180305,-0.138411739,34,57,1
20180305,0.101851649,36,92,1
20180305,0.22585873,42,59,1
20180305,0.09919187,57,93,1
20180305,-0.66860196,69,87,1
20180306,-0.6832444209999999,4,24,1
20180306,0.541023021,4,26,1
20180306,-0.020941536,4,31,1
20180306,0.786806415,4,35,1
20180306,-0.159612339,18,19,1
20180306,0.47807468,18,33,1
20180306,-0.106284535,19,33,1
20180306,0.07761013900000001,19,34,1
20180306,-0.694691163,19,57,1
20180306,0.384674709,24,36,1
20180306,-0.17240898300000002,24,87,1
20180306,-0.99,24,93,1
20180306,-0.5459373710000001,26,33,1
20180306,0.333487971,26,35,1
20180306,-0.222987413,26,69,1
20180306,-0.42886308100000003,26,87,1
20180306,-0.052583492,27,34,1
20180306,0.15311103,31,32,1
20180306,0.309309369,31,35,1
20180306,0.22546855600000001,32,35,1
20180306,-0.075135096,32,39,1
20180306,-0.124726581,32,42,1
20180306,-0.124726581,32,59,1
20180306,0.653286379,33,34,1
20180306,0.038239068,33,35,1
20180306,0.06349894,57,93,1
20180306,-0.743701774,69,87,1
20180307,-0.58600505,4,24,1
20180307,0.5229506079999999,4,26,1
20180307,-0.03593731,4,31,1
20180307,0.762005578,4,35,1
20180307,-0.17985300399999998,18,19,1
20180307,0.476882706,18,33,1
20180307,-0.167752722,19,33,1
20180307,-0.067678339,19,34,1
20180307,-0.486600634,19,57,1
20180307,0.552971873,24,36,1
20180307,-0.111803976,24,87,1
20180307,-0.99,24,93,1
20180307,-0.585014072,26,33,1
20180307,0.31630171100000004,26,35,1
20180307,-0.263023574,26,69,1
20180307,-0.278216523,26,87,1
20180307,-0.101215035,27,34,1
20180307,0.06748111,31,32,1
20180307,0.308090259,31,35,1
20180307,0.181469573,32,35,1
20180307,-0.12751031699999998,32,39,1
20180307,-0.146229362,32,42,1
20180307,-0.146229362,32,59,1
20180307,0.5503667720000001,33,34,1
20180307,0.033123611000000004,33,35,1
20180307,-0.060404705999999996,33,57,1
20180307,0.026796871,34,35,1
20180307,-0.20645439999999998,34,57,1
20180307,0.134074246,36,92,1
20180307,0.156954234,42,59,1
20180307,0.026527212999999997,57,93,1
20180307,-0.839927641,69,87,1
20180308,-0.584221281,4,24,1
20180308,0.52418436,4,26,1
20180308,-0.037304652,4,31,1
20180308,0.762044906,4,35,1
20180308,-0.228026813,18,19,1
20180308,0.426549319,18,33,1
20180308,-0.22395371,19,33,1
20180308,-0.087407477,19,34,1
20180308,-0.47472061200000004,19,57,1
20180308,0.553013749,24,36,1
20180308,-0.109075411,24,87,1
20180308,-0.99,24,93,1
20180308,-0.585495015,26,33,1
20180308,0.31512839800000003,26,35,1
20180308,-0.252803448,26,69,1
20180308,-0.266876426,26,87,1
20180308,-0.155681882,27,34,1
20180308,0.091134274,31,32,1
20180308,0.308622785,31,35,1
20180308,0.180384273,32,35,1
20180308,-0.127717541,32,39,1
20180308,-0.139617393,32,42,1
20180308,-0.139617393,32,59,1
20180308,0.53676303,33,34,1
20180308,0.035210727000000004,33,35,1
20180308,-0.04658794,33,57,1
20180308,0.029267473999999998,34,35,1
20180308,-0.18847983899999998,34,57,1
20180308,0.13963224400000002,36,92,1
20180308,0.164514845,42,59,1
20180308,0.023779149,57,93,1
20180308,-0.8228299459999999,69,87,1
20180309,-0.585998068,4,24,1
20180309,0.51782009,4,26,1
20180309,-0.035833526,4,31,1
20180309,0.7541207940000001,4,35,1
20180309,-0.24228260399999998,18,19,1
20180309,0.415757624,18,33,1
20180309,-0.22091139399999998,19,33,1
20180309,-0.04960887,19,34,1
20180309,-0.48702529200000005,19,57,1
20180309,0.549753216,24,36,1
20180309,-0.127149983,24,87,1
20180309,-0.99,24,93,1
20180309,-0.586979955,26,33,1
20180309,0.310907893,26,35,1
20180309,-0.253845659,26,69,1
20180309,-0.273936536,26,87,1
20180309,-0.15850234400000002,27,34,1
20180309,0.087758475,31,32,1
20180309,0.307070797,31,35,1
20180309,0.17494331800000001,32,35,1
20180309,-0.137233002,32,39,1
20180309,-0.139744872,32,42,1
20180309,-0.139744872,32,59,1
20180309,0.551041884,33,34,1
20180309,0.03345384,33,35,1
20180309,-0.06077848,33,57,1
20180309,0.027223932000000003,34,35,1
20180309,-0.200148995,34,57,1
20180309,0.140849081,36,92,1
20180309,0.16367627699999998,42,59,1
20180309,0.018577184,57,93,1
20180309,-0.8379385979999999,69,87,1
20180310,-0.629430857,4,24,1
20180310,0.53281221,4,26,1
20180310,-0.028676671,4,31,1
20180310,0.773969783,4,35,1
20180310,-0.221157921,18,19,1
20180310,0.429697095,18,33,1
20180310,-0.221400885,19,33,1
20180310,-0.037865248,19,34,1
20180310,-0.48769284,19,57,1
20180310,0.42465230600000003,24,36,1
20180310,-0.150555673,24,87,1
20180310,-0.99,24,93,1
20180310,-0.54597372,26,33,1
20180310,0.323645545,26,35,1
20180310,-0.22531041899999998,26,69,1
20180310,-0.26157297399999996,26,87,1
20180310,-0.145419655,27,34,1
20180310,0.123516444,31,32,1
20180310,0.304573631,31,35,1
20180310,0.190890372,32,35,1
20180310,-0.103937269,32,39,1
20180310,-0.128232808,32,42,1
20180310,-0.128232808,32,59,1
20180310,0.557115193,33,34,1
20180310,0.036242527999999996,33,35,1
20180310,-0.190924814,33,57,1
20180310,0.030548471,34,35,1
20180310,-0.236461041,34,57,1
20180310,0.12290922,36,92,1
20180310,0.17492562600000003,42,59,1
20180310,-0.054097335,57,93,1
20180310,-0.829425106,69,87,1
20180311,-0.613594789,4,24,1
20180311,0.5195367320000001,4,26,1
20180311,-0.008382343,4,31,1
20180311,0.653800334,4,35,1
20180311,-0.214038074,18,19,1
20180311,0.42499447700000004,18,33,1
20180311,-0.23285695899999997,19,33,1
20180311,0.026820041,19,34,1
20180311,-0.45939433399999996,19,57,1
20180311,0.430088268,24,36,1
20180311,-0.340645435,24,87,1
20180311,-0.99,24,93,1
20180311,-0.530555294,26,33,1
20180311,0.22754404,26,35,1
20180311,-0.21894291,26,69,1
20180311,-0.24098740800000001,26,87,1
20180311,-0.09519452199999999,27,34,1
20180311,0.168530542,31,32,1
20180311,0.320983827,31,35,1
20180311,0.050437292,32,35,1
20180311,-0.270363538,32,39,1
20180311,-0.130451697,32,42,1
20180311,-0.130451697,32,59,1
20180311,0.582616605,33,34,1
20180311,0.039774734,33,35,1
20180311,-0.19914876899999998,33,57,1
20180311,0.035039348,34,35,1
20180311,-0.243842787,34,57,1
20180311,0.084852034,36,92,1
20180311,0.17244471100000003,42,59,1
20180311,-0.036796811,57,93,1
20180311,-0.819748183,69,87,1
20180312,-0.621540604,4,24,1
20180312,0.01858027,4,26,1
20180312,-0.129967321,4,31,1
20180312,0.344099947,4,35,1
20180312,-0.19018075199999998,18,19,1
20180312,0.427043016,18,33,1
20180312,-0.136003572,19,33,1
20180312,0.140992218,19,34,1
20180312,-0.27722018-03-07,19,57,1
20180312,0.467619664,24,36,1
20180312,-0.235223075,24,87,1
20180312,-0.849265974,24,93,1
20180312,-0.47210387299999995,26,33,1
20180312,0.141465536,26,35,1
20180312,-0.156374498,26,69,1
20180312,-0.19037952600000002,26,87,1
20180312,0.005812326,27,34,1
20180312,0.072368209,31,32,1
20180312,0.036858042,31,35,1
20180312,-0.486325359,32,35,1
20180312,-0.736880998,32,39,1
20180312,0.016626801,32,42,1
20180312,0.016626801,32,59,1
20180312,0.7186493159999999,33,34,1
20180312,0.040920952000000003,33,35,1
20180312,-0.14262893699999998,33,57,1
20180312,0.037040427,34,35,1
20180312,-0.126944816,34,57,1
20180312,0.17666235600000002,36,92,1
20180312,0.325036919,42,59,1
20180312,-0.03518501,57,93,1
20180312,-0.635692785,69,87,1
20180313,-0.625014132,4,24,1
20180313,-0.197859182,18,19,1
20180313,0.41793169700000005,18,33,1
20180313,-0.021097502,19,33,1
20180313,0.30381259,19,34,1
20180313,-0.311115598,19,57,1
20180313,0.46433283399999997,24,36,1
20180313,-0.2043809,24,87,1
20180313,-0.786568277,24,93,1
20180313,-0.479382229,26,33,1
20180313,0.134414267,26,35,1
20180313,-0.153964261,26,69,1
20180313,-0.196100787,26,87,1
20180313,0.129376996,27,34,1
20180313,0.035643142,31,32,1
20180313,0.033706611000000004,31,35,1
20180313,-0.5076015429999999,32,35,1
20180313,-0.782392622,32,39,1
20180313,0.018852318,32,42,1
20180313,0.018852318,32,59,1
20180313,0.821664093,33,34,1
20180313,0.03728251,33,35,1
20180313,-0.163626372,33,57,1
20180313,0.032787093999999996,34,35,1
20180313,-0.155275978,34,57,1
20180313,0.197031652,36,92,1
20180313,0.322688081,42,59,1
20180313,-0.051392149000000005,57,93,1
20180313,-0.632512665,69,87,1
20180314,-0.62788003,4,24,1
20180314,0.0078003790000000005,4,26,1
20180314,-0.222701485,4,31,1
20180314,0.31726060300000003,4,35,1
20180314,-0.271343491,18,19,1
20180314,0.429475162,18,33,1
20180314,-0.005068255,19,33,1
20180314,0.235992972,19,34,1
20180314,-0.289801669,19,57,1
20180314,0.456996687,24,36,1
20180314,-0.20632231,24,87,1
20180314,-0.713618207,24,93,1
20180314,-0.473753616,26,33,1
20180314,0.128304475,26,35,1
20180314,-0.16223779900000002,26,69,1
20180314,-0.202234482,26,87,1
20180314,0.120908251,27,34,1
20180314,0.073626852,31,32,1
20180314,0.032974125,31,35,1
20180314,-0.508014042,32,35,1
20180314,-0.7987109859999999,32,39,1
20180314,0.018783178,32,42,1
20180314,0.018783178,32,59,1
20180314,0.742357888,33,34,1
20180314,0.03595637,33,35,1
20180314,-0.145505621,33,57,1
20180314,0.030967075,34,35,1
20180314,-0.143464017,34,57,1
20180314,0.220159572,36,92,1
20180314,0.323648675,42,59,1
20180314,-0.048622988,57,93,1
20180314,-0.63221433,69,87,1
20180315,-0.626396224,4,24,1
20180315,0.016137388,4,26,1
20180315,-0.196430324,4,31,1
20180315,0.32854970699999997,4,35,1
20180315,-0.36216601299999995,18,19,1
20180315,0.437266383,18,33,1
20180315,0.029161184,19,33,1
20180315,0.464592674,24,36,1
20180315,-0.207619766,24,87,1
20180315,-0.700396445,24,93,1
20180315,-0.465470485,26,33,1
20180315,0.13489483900000002,26,35,1
20180315,-0.163130637,26,69,1
20180315,-0.20187587899999998,26,87,1
20180315,0.075448513,27,34,1
20180315,0.086972861,31,32,1
20180315,0.033844262,31,35,1
20180315,-0.504372603,32,35,1
20180315,-0.794051099,32,39,1
20180315,0.016565027,32,42,1
20180315,0.016565027,32,59,1
20180315,0.685669008,33,34,1
20180315,0.038042394,33,35,1
20180315,-0.117444558,33,57,1
20180315,0.033520573,34,35,1
20180315,-0.129406426,34,57,1
20180315,0.212009182,36,92,1
20180315,0.317850233,42,59,1
20180315,-0.216418392,57,93,1
20180315,-0.62652975,69,87,1
20180316,-0.619501525,4,24,1
20180316,-0.019220417,4,26,1
20180316,-0.188269143,4,31,1
20180316,0.343019349,4,35,1
20180316,-0.334235772,18,19,1
20180316,0.46988620600000003,18,33,1
20180316,-0.004837608,19,33,1
20180316,0.21807793600000003,19,34,1
20180316,-0.35486918799999995,19,57,1
20180316,0.470034935,24,36,1
20180316,-0.21734012100000002,24,87,1
20180316,-0.7212743690000001,24,93,1
20180316,-0.47108568700000003,26,33,1
20180316,0.126098964,26,35,1
20180316,-0.15242152,26,69,1
20180316,-0.166868969,26,87,1
20180316,0.039296486,27,34,1
20180316,0.088882203,31,32,1
20180316,0.01627822,31,35,1
20180316,-0.48565965200000005,32,35,1
20180316,-0.793243076,32,39,1
20180316,0.04454475,32,42,1
20180316,0.04454475,32,59,1
20180316,0.659782199,33,34,1
20180316,-0.009727481,33,35,1
20180316,-0.161594168,33,57,1
20180316,-0.012969975,34,35,1
20180316,-0.15281887,34,57,1
20180316,0.228456899,36,92,1
20180316,0.36203135799999997,42,59,1
20180316,-0.17016898800000002,57,93,1
20180316,-0.618071383,69,87,1
20180317,-0.317349676,4,24,1
20180317,0.0007090169999999999,4,26,1
20180317,-0.212248739,4,31,1
20180317,0.37502158799999996,4,35,1
20180317,-0.35746032299999997,18,19,1
20180317,0.45981366799999995,18,33,1
20180317,-0.009667805,19,33,1
20180317,0.18689805899999998,19,34,1
20180317,-0.360604945,19,57,1
20180317,0.486582955,24,36,1
20180317,-0.187312117,24,87,1
20180317,-0.728334481,24,93,1
20180317,-0.49488656200000003,26,33,1
20180317,0.150008635,26,35,1
20180317,-0.154288119,26,69,1
20180317,-0.188065443,26,87,1
20180317,0.012348546,27,34,1
20180317,0.01650186,31,32,1
20180317,0.013503361,31,35,1
20180317,-0.525017371,32,35,1
20180317,-0.8375487229999999,32,39,1
20180317,0.024956145,32,42,1
20180317,0.024956145,32,59,1
20180317,0.880233047,33,34,1
20180317,-0.012225076000000001,33,35,1
20180317,-0.181574635,33,57,1
20180317,-0.016300101,34,35,1
20180317,-0.174203595,34,57,1
20180317,0.23462631399999997,36,92,1
20180317,0.333715091,42,59,1
20180317,-0.24069254,57,93,1
20180317,-0.57004182,69,87,1
20180318,-0.33523676,4,24,1
20180318,-0.009171443,4,26,1
20180318,-0.247497335,4,31,1
20180318,0.35122125299999996,4,35,1
20180318,-0.345724805,18,19,1
20180318,0.446350824,18,33,1
20180318,-0.231239252,19,33,1
20180318,0.006756843,19,34,1
20180318,-0.36877109999999996,19,57,1
20180318,0.459296692,24,36,1
20180318,-0.224919366,24,87,1
20180318,-0.665195918,24,93,1
20180318,-0.5072555089999999,26,33,1
20180318,0.140488501,26,35,1
20180318,-0.162608339,26,69,1
20180318,-0.201820771,26,87,1
20180318,0.260513973,27,34,1
20180318,-0.13177897800000002,31,32,1
20180318,0.004680473,31,35,1
20180318,-0.166058559,32,35,1
20180318,-0.726751611,32,39,1
20180318,0.013330363000000001,32,42,1
20180318,0.013330363000000001,32,59,1
20180318,0.8582509309999999,33,34,1
20180318,-0.013649767,33,35,1
20180318,-0.190813394,33,57,1
20180318,-0.01819969,34,35,1
20180318,-0.16260723300000002,34,57,1
20180318,0.16910848399999998,36,92,1
20180318,0.312418019,42,59,1
20180318,-0.23456114100000003,57,93,1
20180318,-0.646573934,69,87,1
20180319,-0.29702881600000003,4,24,1
20180319,0.0018024389999999999,4,26,1
20180319,-0.22034118800000002,4,31,1
20180319,0.375234016,4,35,1
20180319,-0.352493309,18,19,1
20180319,0.43703819899999996,18,33,1
20180319,-0.211964181,19,33,1
20180319,0.066306274,19,34,1
20180319,-0.374302601,19,57,1
20180319,0.40407937299999996,24,36,1
20180319,-0.21967522899999997,24,87,1
20180319,-0.615308427,24,93,1
20180319,-0.483574434,26,33,1
20180319,0.150093607,26,35,1
20180319,-0.149064109,26,69,1
20180319,-0.1782015,26,87,1
20180319,0.292044591,27,34,1
20180319,-0.228569612,31,32,1
20180319,0.010396914,31,35,1
20180319,-0.155153279,32,35,1
20180319,-0.671331536,32,39,1
20180319,0.065619575,32,42,1
20180319,0.065619575,32,59,1
20180319,0.912437178,33,34,1
20180319,-0.009334731,33,35,1
20180319,-0.190332804,33,57,1
20180319,-0.012446308,34,35,1
20180319,-0.15698602,34,57,1
20180319,0.11158484,36,92,1
20180319,0.362079704,42,59,1
20180319,-0.425736966,57,93,1
20180319,-0.631939433,69,87,1
20180320,-0.37097406299999997,4,24,1
20180320,-0.009047039,4,26,1
20180320,-0.288906345,4,31,1
20180320,-0.217290701,18,19,1
20180320,0.57281749,18,33,1
20180320,-0.10826379400000001,19,33,1
20180320,-0.07211595,19,34,1
20180320,-0.381153894,19,57,1
20180320,0.325834868,24,36,1
20180320,-0.128541083,24,87,1
20180320,-0.579734404,24,93,1
20180320,-0.5326170179999999,26,33,1
20180320,0.148399317,26,35,1
20180320,-0.163322993,26,69,1
20180320,-0.236985817,26,87,1
20180320,0.289333899,27,34,1
20180320,-0.395817446,31,32,1
20180320,0.009159059,31,35,1
20180320,-0.16798005600000002,32,35,1
20180320,-0.751113865,32,39,1
20180320,0.046736997,32,42,1
20180320,0.046736997,32,59,1
20180320,0.7436738079999999,33,34,1
20180320,-0.013321618,33,35,1
20180320,-0.333610604,33,57,1
20180320,-0.017762158,34,35,1
20180320,-0.28963609100000004,34,57,1
20180320,0.106061868,36,92,1
20180320,0.323467203,42,59,1
20180320,-0.48665684200000003,57,93,1
20180320,-0.689188038,69,87,1
20180321,-0.7338274859999999,4,24,1
20180321,-0.161101485,4,26,1
20180321,-0.267212848,4,31,1
20180321,-0.220141858,18,19,1
20180321,0.588514655,18,33,1
20180321,-0.065154582,19,33,1
